RID,stationing,Distance,Name,N_m_raw,E_m_raw,Elev_m_raw,N_m_proc,E_m_proc,Elev_m_pro,tile_dry_g
3.2,11.00329769,2.26E-05,3.22,4117804.077,549070.267,605.524,4117803.192,549070.899,603.74,2.3
3.2,7.182823159,-6.60E-06,3.23,4117802.848,549066.635,605.124,4117801.963,549067.267,603.34,30.91
3.2,4.388322178,2.61E-05,3.24,4117801.012,549064.387,605.277,4117800.127,549065.019,603.493,45.58
3.2,0.391669971,2.83E-05,3.25,4117800.601,549060.206,604.953,4117799.716,549060.838,603.169,636.43
3.3,14.20149787,-4.32E-05,3.31,4117749.856,549094.582,605.408,4117748.971,549095.214,603.624,8.04
3.3,9.419421196,3.31E-05,3.32,4117747.021,549090.402,605.486,4117746.136,549091.034,603.702,8.37
3.3,6.656811565,-1.02E-06,3.33,4117746.188,549087.766,605.535,4117745.303,549088.398,603.751,4.77
3.3,4.270285711,4.06E-05,3.34,4117745.5,549085.48,605.245,4117744.615,549086.112,603.461,47.8
3.3,1.699015553,-3.28E-05,3.35,4117745.312,549082.865,604.814,4117744.427,549083.497,603.03,186.21
3.4,14.62924354,-7.36E-06,3.41,4117687.81,549117.31,605.02,4117686.925,549117.942,603.236,21.46
3.4,10.2106111,-0.000254964,3.42,4117685.549,549113.444,605.233,4117684.664,549114.076,603.449,7.18
3.4,6.830352935,-0.000329767,3.43,4117684.448,549110.246,605.288,4117683.563,549110.878,603.504,9.08
3.4,4.210009732,-0.000473665,3.44,4117683.903,549107.649,605.086,4117683.018,549108.281,603.302,41.95
3.4,1.061321598,-0.000573946,3.45,4117683.011,549104.619,604.405,4117682.126,549105.251,602.621,64.98
3.5,9.617794538,3.05E-05,3.51,4117648.008,549137.371,605.095,4117647.123,549138.003,603.311,2.14
3.5,6.356677626,-8.62E-06,3.52,4117645.418,549135.388,605.122,4117644.533,549136.02,603.338,11.06
3.5,3.754301029,-1.42E-05,3.53,4117643.288,549133.892,605.022,4117642.403,549134.524,603.238,1.45
3.5,1.122802392,2.59E-05,3.54,4117641.09,549132.44,604.492,4117640.205,549133.072,602.708,14.31
3.5,0.223800276,-4.74E-06,3.55,4117640.42,549131.833,604.757,4117639.535,549132.465,602.973,54.7
