"ID","Distance","Elevation"
1,55.7784208589068,605.138322622762
2,55.7313107061543,605.128147839667
3,55.6842005534019,605.108432150632
4,55.6370904006494,605.087096795573
5,55.5899802478969,605.06635955275
6,55.5428700951445,605.049960302827
7,55.495759942392,605.034094456012
8,55.4486497896396,605.030757228443
9,55.4015396368871,605.03924940864
10,55.3544294841347,605.050458056749
11,55.3073193313822,605.066184188041
12,55.2602091786298,605.080995559681
13,55.2130990258773,605.075488547286
14,55.1659888731249,605.073794225766
15,55.1188787203724,605.0793814047
16,55.0717685676199,605.089521009133
17,55.0246584148675,605.095598564999
18,54.977548262115,605.08335256069
19,54.9304381093626,605.084328893015
20,54.8833279566101,605.168979804012
21,54.8362178038577,605.235616986329
22,54.7891076511052,605.240469905031
23,54.7419974983528,605.242677819535
24,54.6948873456003,605.246882665986
25,54.6477771928478,605.253421221941
26,54.6006670400954,605.266019055683
27,54.5535568873429,605.275775288642
28,54.5064467345905,605.277434298106
29,54.459336581838,605.271505862645
30,54.4122264290856,605.269755415511
31,54.3651162763331,605.276132138045
32,54.3180061235807,605.289804693765
33,54.2708959708282,605.313924601468
34,54.2237858180758,605.340053254042
35,54.1766756653233,605.357965699834
36,54.1295655125708,605.362577298035
37,54.0824553598184,605.367308940806
38,54.0353452070659,605.372977058802
39,53.9882350543135,605.371061693992
40,53.941124901561,605.373824161954
41,53.8940147488086,605.379762821985
42,53.8469045960561,605.406439302654
43,53.7997944433037,605.460563641055
44,53.7526842905512,605.482042674388
45,53.7055741377987,605.459241645357
46,53.6584639850463,605.451578633922
47,53.6113538322938,605.445369553931
48,53.5642436795414,605.42733896402
49,53.5171335267889,605.423958467019
50,53.4700233740365,605.439387566751
51,53.422913221284,605.451240395781
52,53.3758030685316,605.449166144309
53,53.3286929157791,605.434277369437
54,53.2815827630267,605.401073348828
55,53.2344726102742,605.368872045549
56,53.1873624575217,605.374056343316
57,53.1402523047693,605.394185098825
58,53.0931421520168,605.43608570606
59,53.0460319992644,605.471320390719
60,52.9989218465119,605.471454257264
61,52.9518116937595,605.443216878906
62,52.904701541007,605.421863792074
63,52.8575913882546,605.414192464812
64,52.8104812355021,605.399167877123
65,52.7633710827497,605.388654512503
66,52.7162609299972,605.374241676634
67,52.6691507772447,605.364541733113
68,52.6220406244923,605.363356036293
69,52.5749304717398,605.381884540413
70,52.5278203189874,605.398140314191
71,52.4807101662349,605.391510039574
72,52.4336000134825,605.370445849948
73,52.38648986073,605.357746433825
74,52.3393797079776,605.355649671527
75,52.2922695552251,605.364835129416
76,52.2451594024726,605.366265826992
77,52.1980492497202,605.36222628471
78,52.1509390969677,605.357662963268
79,52.1038289442153,605.361286408257
80,52.0567187914628,605.368320781164
81,52.0096086387104,605.347851526198
82,51.9624984859579,605.343944698717
83,51.9153883332055,605.358438240266
84,51.868278180453,605.364516928991
85,51.8211680277005,605.363071121156
86,51.7740578749481,605.362937319797
87,51.7269477221956,605.36732262234
88,51.6798375694432,605.374904286089
89,51.6327274166907,605.378694890677
90,51.5856172639383,605.38254740315
91,51.5385071111858,605.391299157311
92,51.4913969584334,605.390604769306
93,51.4442868056809,605.384591719656
94,51.3971766529285,605.384060077858
95,51.350066500176,605.386395972045
96,51.3029563474235,605.38663527391
97,51.2558461946711,605.391122163137
98,51.2087360419186,605.39921705617
99,51.1616258891662,605.410464718152
100,51.1145157364137,605.417865314382
101,51.0674055836613,605.430402601357
102,51.0202954309088,605.449271210627
103,50.9731852781564,605.466461659745
104,50.9260751254039,605.472427827875
105,50.8789649726514,605.475708182219
106,50.831854819899,605.482012876239
107,50.7847446671465,605.481544830698
108,50.7376345143941,605.475065459254
109,50.6905243616416,605.464525226351
110,50.6434142088892,605.460697026106
111,50.5963040561367,605.470299927247
112,50.5491939033843,605.484239490498
113,50.5020837506318,605.492061897307
114,50.4549735978794,605.4913359476
115,50.4078634451269,605.490429430355
116,50.3607532923744,605.48808040803
117,50.313643139622,605.501105877467
118,50.2665329868695,605.531332644615
119,50.2194228341171,605.551176727543
120,50.1723126813646,605.548609429162
121,50.1252025286122,605.547648388651
122,50.0780923758597,605.568799634189
123,50.0309822231073,605.5930048977
124,49.9838720703548,605.596581473077
125,49.9367619176023,605.602181074649
126,49.8896517648499,605.607850581082
127,49.8425416120974,605.601536626297
128,49.795431459345,605.611415126142
129,49.7483213065925,605.644665991296
130,49.7012111538401,605.664499166893
131,49.6541010010876,605.659093089542
132,49.6069908483352,605.656426733171
133,49.5598806955827,605.6418515983
134,49.5127705428303,605.630882727508
135,49.4656603900778,605.644320569459
136,49.4185502373253,605.660098397862
137,49.3714400845729,605.65324827021
138,49.3243299318204,605.621399620165
139,49.277219779068,605.592127412604
140,49.2301096263155,605.598445425382
141,49.1829994735631,605.619013357119
142,49.1358893208106,605.649655168661
143,49.0887791680582,605.674545619045
144,49.0416690153057,605.664571411031
145,48.9945588625532,605.640448509434
146,48.9474487098008,605.631056830381
147,48.9003385570483,605.643447418388
148,48.8532284042959,605.652278006697
149,48.8061182515434,605.637047908576
150,48.759008098791,605.622108070705
151,48.7118979460385,605.620987564442
152,48.6647877932861,605.613295611325
153,48.6176776405336,605.618531886395
154,48.5705674877811,605.639035108018
155,48.5234573350287,605.640425785395
156,48.4763471822762,605.623467751752
157,48.4292370295238,605.616207422217
158,48.3821268767713,605.626095237182
159,48.3350167240189,605.63065281796
160,48.2879065712664,605.624534610288
161,48.240796418514,605.619187585686
162,48.1936862657615,605.615980368802
163,48.1465761130091,605.61254025943
164,48.0994659602566,605.609024788607
